Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,108.000000,110.239998,107.660004,110.000000,107.835449,8188800
2018-07-16,109.820000,110.449997,108.769997,110.199997,108.031502,8245900
2018-07-17,110.260002,112.620003,110.089996,110.300003,108.129547,9075900
2018-07-18,110.309998,111.059998,109.650002,110.690002,108.511871,6414100
2018-07-19,111.540001,114.680000,111.300003,112.129997,109.923538,17796800
2018-07-20,112.150002,112.199997,110.830002,111.480003,109.286331,11787900
2018-07-23,111.050003,111.209999,110.339996,111.089996,108.903992,5447800
2018-07-24,111.839996,111.889999,110.540001,110.699997,108.521667,5648800
2018-07-25,110.639999,111.419998,109.629997,111.180000,108.992226,6756800
2018-07-26,112.150002,114.559998,111.680000,113.510002,111.276375,9466400
2018-07-27,114.000000,114.050003,111.919998,112.620003,110.403893,5717000
2018-07-30,112.199997,113.339996,112.050003,112.629997,110.413696,5199300
2018-07-31,112.550003,114.050003,112.360001,113.559998,111.325394,8421200
2018-08-01,113.680000,113.830002,112.589996,112.970001,110.747009,6466600
2018-08-02,112.500000,113.320000,111.680000,112.750000,110.531326,4027300
2018-08-03,113.199997,114.099998,112.400002,114.089996,111.844963,4747500
2018-08-06,114.660004,116.839996,114.160004,115.940002,113.658562,12715600
2018-08-07,116.570000,117.900002,116.239998,116.559998,114.266357,15466900
2018-08-08,115.900002,116.410004,113.900002,113.980003,111.737129,11722900
2018-08-09,114.050003,114.800003,112.809998,114.160004,111.913597,7042000
2018-08-10,113.580002,113.800003,112.400002,112.680000,110.462715,5740200
2018-08-13,112.660004,112.839996,111.720001,112.120003,109.913734,6080900
2018-08-14,112.379997,113.190002,111.949997,112.750000,110.531326,4326400
2018-08-15,112.180000,113.120003,111.470001,112.849998,110.629364,5183200
2018-08-16,113.300003,113.330002,112.400002,112.480003,110.266647,5082500
2018-08-17,112.510002,112.860001,111.889999,112.480003,110.266647,4764500
2018-08-20,112.930000,113.000000,111.910004,111.989998,109.786278,5167600
2018-08-21,112.250000,113.000000,112.000000,112.389999,110.178413,4770400
2018-08-22,112.440002,112.750000,111.940002,111.940002,109.737274,3213000
2018-08-23,111.940002,112.139999,111.529999,112.000000,109.796089,4257400
2018-08-24,111.629997,112.699997,111.440002,111.930000,109.727478,5049000
2018-08-27,112.489998,112.889999,112.070000,112.330002,110.119598,4767700
2018-08-28,112.570000,112.790001,112.199997,112.580002,110.364677,3131600
2018-08-29,112.580002,112.720001,112.019997,112.449997,110.237228,4001500
2018-08-30,112.070000,112.419998,111.589996,111.919998,109.717667,3481600
2018-08-31,111.900002,112.279999,111.559998,112.019997,109.815689,4642800
2018-09-04,111.800003,112.000000,110.650002,110.849998,108.668716,6391200
2018-09-05,110.580002,110.820000,109.699997,109.870003,107.708008,6388300
2018-09-06,110.000000,110.410004,109.360001,110.260002,108.090332,5267200
2018-09-07,110.080002,111.349998,110.010002,110.970001,108.786362,4754800
2018-09-10,111.440002,111.910004,110.370003,110.680000,108.502068,4636500
2018-09-11,110.500000,110.610001,109.510002,109.599998,107.443314,5488600
2018-09-12,109.250000,110.250000,109.180000,109.459999,107.306068,5236700
2018-09-13,109.550003,110.720001,109.370003,110.669998,108.492264,5119400
2018-09-14,110.919998,111.250000,108.879997,109.260002,107.110016,6012400
2018-09-17,109.580002,109.879997,108.610001,109.360001,107.208038,5592900
2018-09-18,108.889999,109.750000,108.230003,109.529999,107.374695,4937800
2018-09-19,109.629997,110.180000,109.480003,109.790001,107.629578,5964600
2018-09-20,110.580002,111.949997,109.940002,111.620003,109.423569,7121800
2018-09-21,111.949997,111.980003,110.400002,110.400002,108.227577,25753600
2018-09-24,112.269997,113.139999,111.699997,112.769997,110.550934,9232300
2018-09-25,113.309998,114.709999,112.650002,113.629997,111.394012,12169400
2018-09-26,114.010002,116.320000,114.010002,115.209999,112.942924,11141500
2018-09-27,115.190002,116.599998,115.099998,116.040001,113.756599,5195300
2018-09-28,115.650002,117.459999,115.349998,116.940002,114.638885,7366800
2018-10-01,117.279999,117.400002,115.680000,116.239998,113.952660,8643900
2018-10-02,115.550003,117.699997,115.300003,117.660004,115.344711,6441700
2018-10-03,117.949997,118.099998,116.739998,116.910004,114.609474,6111700
2018-10-04,117.000000,117.169998,115.120003,116.129997,113.844818,6442800
2018-10-05,116.000000,116.580002,114.730003,114.779999,112.521393,5835700
2018-10-08,114.830002,116.160004,114.120003,116.019997,113.736984,5652300
2018-10-09,116.620003,117.769997,116.040001,116.889999,114.589867,6761400
2018-10-10,116.839996,117.230003,112.730003,112.860001,110.639175,9006500
2018-10-11,112.500000,113.250000,110.320000,111.150002,108.962822,10045400
2018-10-12,111.970001,113.269997,111.230003,112.610001,110.394089,5963900
2018-10-15,111.930000,114.620003,111.889999,113.440002,111.207756,6628800
